Key,Type,Desc,chinese,english
wjmy,,,无尽梦魇,
wjmy_desc,,,被施加buff时：buff层数+1,
kwzx,,,空无之心,
kwzx_desc,,,被施加buff时：buff层数-1,
lmzw,,,鲁莽战纹,
lmzw_desc,,,普通攻击时：段数+1，随机技能冷却+1,
wdys,,,巫毒仪式,
wdys_desc,,, 击杀时：有概率会获得属性提升，幸运降低,
xyf,,,幸运符,
xyf_desc,,,交锋时：有概率获得一次免疫,
wcsl,,,误差沙漏,
wcsl_desc,,,技能冷却时：随机增加或减少,
jzhb,,,静滞怀表,
jzhb_desc,,,技能冷却时：每有一个回合未施放主动技能，下个主动技能倍率+<color=yellow>{[P1]}</color>,
tzns,,,他者凝视,
tzns_desc,,,施法时：消耗+5，强化：魔法上限1,
zqms,,,正七面骰,
zqms_desc,,,获得时：幸运极大提升,
,,,克莱因瓶,
_desc,,,使用药水时：恢复<color=yellow>{[P1]}</color>发力,
,,,虚无主义,
_desc,,,受伤时：受到的物理伤害减半，受到的魔法伤害加倍,
,,,染血史书,
_desc,,,下层时：消耗20%最大生命,
,,,折断旌旗,
_desc,,,撤退时：不会受到追击,
,,,恐怖油画,
_desc,,,每有一个非主职业的技能，强化：魔法上限2，生命上限2,
,,,不休陀螺,
_desc,,,,
,,,沸腾之血,
_desc,,,攻击时：治疗2,
,,,加冕之冠,
_desc,,,,
,,,叛国烙印,
_desc,,,,
